ROLL NUMBER,NAME,,ID,PASSWORD
B001,RIDHIMA SHARMA,,70021014001,70021014001
B002,FIONA DUGGAL,,70021014002,70021014002
B003,PULKIT HARLALKA,,70021014003,70021014003
B004,KARAN BAAMB,,70021014004,70021014004
B005,ABEERA BHATTACHARYA,,70021014005,70021014005
B006,MISHKA LALCHANDANI,,70021014006,70021014006
B007,INAYAT SHAIKH,,70021014007,70021014007
B008,DWAYNE JOHNSON,,70021014008,70021014008
B009,WONKA DANGERFIELD,,70021014009,70021014009
B010,YASHIKA SAMRAT,,70021014010,70021014010
B011,KEYURA ZINGA,,70021014011,70021014011
B012,UNANI MIKELA,,70021014012,70021014012
B013,YASHRAJ SAMDANI,,70021014013,70021014013
B014,SAMADRITA PATEL,,70021014014,70021014014
B015,OSHIN AGARWAL,,70021014015,70021014015
B016,ANSH SHAH,,70021014016,70021014016
B017,CHAITANYA CAMA,,70021014017,70021014017
B018,AADITT TANTA,,70021014018,70021014018
B019,SYLVAN KOYAGURA,,70021014019,70021014019
B020,EWARA AWARA,,70021014020,70021014020
B021,VINITA TAMBOLI,,70021014021,70021014021
B022,HEMANSHU RATHORE,,70021014022,70021014022
B023,BIBI DRONACHARYA,,70021014023,70021014023
B024,MIMI KREEPACHARYA,,70021014024,70021014024
B025,AADIT POPATRAJA,,70021014025,70021014025
B026,VYOMA NONA,,70021014026,70021014026
B027,HAHANISHA BINDRA,,70021014027,70021014027
B028,MAITRI PATEL,,70021014028,70021014028
B029,ANSHIKA KOTHWAL,,70021014029,70021014029
B030,ZUMI KOTAHRI,,70021014030,70021014030
B031,VANNI SAXENA,,70021014031,70021014031
B032,TARUN JAIN,,70021014032,70021014032
B033,KORA PATI,,70021014033,70021014033
B034,JIM JAIN,,70021014034,70021014034
B035,SUMIT SOGANI,,70021014035,70021014035
B036,KRISSH SUPERMANS,,70021014036,70021014036
B037,MUKESH JATT,,70021014037,70021014037
B038,NITIN DHOKAD,,70021014038,70021014038
B039,YUDDH HAHAKAAR,,70021014039,70021014039
